NAME,LABEL,SHORTLABEL,STATUS,DESIGNATION_DATE,EDIT_DATE,UNIQUEID,GIS_ID,OBJECTID,SHAPEAREA,SHAPELEN
"Burke, Edmund, Statue",Edmund Burke Statue,Burke ,Designated,,2006/12/29 05:00:00+00,L_0144,,199435,0,0
Chesapeake and Ohio Canal,C & O Canal,C & O Canal,Designated,,2006/12/29 05:00:00+00,L_0145,,199436,0,0
"Ward, Artemas, Statue",Artemas Ward Statue,Ward,Designated,,2006/12/29 05:00:00+00,L_0146,,199437,0,0
Brownley Building,Brownley Building,Brownley Bldg,Designated,,2006/12/29 05:00:00+00,L_0147,,199438,0,0
Greyhound Bus Terminal,Greyhound Bus Terminal,Greyhound Bus ,Designated,,2006/12/29 05:00:00+00,L_0148,,199439,0,0
On Leong Chinese Merchants Association,On Leong Chinese Merchants Assn,On Leong Assn,Designated,,2006/12/29 05:00:00+00,L_0149,,199440,0,0
Foxall-McKenney House,Foxall-McKenney House,McKenney Hse,Designated,,2006/12/29 05:00:00+00,L_0150,,199441,0,0
Mount Olivet Lutheran Church (Vermont Ave. Christian Church),Mt Olivet Lutheran Church,Mt Olivet Church,Designated,,2006/12/29 05:00:00+00,L_0151,,199442,0,0
"Wilkins, Emily J., House (Old Australian Embassy; Peruvian Chancery)",Wilkins House,Wilkins House,Designated,,2006/12/29 05:00:00+00,L_0152,,199443,0,0
Bodisco House (Clement Smith House),Bodisco House,Bodisco Hse,Designated,,2006/12/29 05:00:00+00,L_0153,,199444,0,0
"Blaine, James G., House",Blaine House,Blaine House,Designated,,2006/12/29 05:00:00+00,L_0082,,199445,0,0
Pan American Union (Organization of American States),Pan American Union,Pan Am Union,Designated,,2006/12/29 05:00:00+00,L_0083,,199446,0,0
"Peabody, George School",Peabody School,Peabody School,Designated,,2006/12/29 05:00:00+00,L_0084,,199447,0,0
Sewall-Belmont House (Nat'l Woman's Party Headquarters),Sewall-Belmont House,Sewall-Belmont Hse,Designated,,2006/12/29 05:00:00+00,L_0085,,199448,0,0
"Lockkeeper's House, Chesapeake & Ohio Canal Extension",Lockkeeper's House,Lockkeeper's Hse,Designated,,2006/12/29 05:00:00+00,L_0086,,199449,0,0
"Bayly, Mountjoy House (Chaplains Memorial Bldg.; Hiram Johnson House)",Mountjoy Bayly House,Bayly House,Designated,,2006/12/29 05:00:00+00,L_0087,,199450,0,0
"National Museum of Natural History, Smithsonian Institution",Natural History Museum,Natural History,Designated,,2006/12/29 05:00:00+00,L_0088,,199451,0,0
National Gallery of Art,National Gallery of Art,National Gallery,Designated,,2006/12/29 05:00:00+00,L_0089,,199452,0,0
Supreme Court,Supreme Court,Supreme Court,Designated,,2006/12/29 05:00:00+00,L_0090,,199453,0,0
Marine Corps Commandant's House,Commandant's House,Commandant's Hse,Designated,,2006/12/29 05:00:00+00,L_0091,,199454,0,0
Duncanson-Cranch House (Barney Neighborhood House),Duncanson-Cranch House,Duncanson Hse,Designated,,2006/12/29 05:00:00+00,L_0092,,199455,0,0
"Lewis, Edward Simon, House",Edward Simon Lewis House,Lewis House,Designated,,2006/12/29 05:00:00+00,L_0093,,199456,0,0
Lincoln Memorial (and Statue of Lincoln),Lincoln Memorial & Statue,Lincoln Memorial ,Designated,,2006/12/29 05:00:00+00,L_0094,,199457,0,0
Washington Monument,Washington Monument,Monument,Designated,,2006/12/29 05:00:00+00,L_0095,,199458,0,0
Folger Shakespeare Library,Folger Shakespeare Library,Folger Library,Designated,,2006/12/29 05:00:00+00,L_0096,,199459,0,0
Library of Congress,Library of Congress,Library of Congress,Designated,,2006/12/29 05:00:00+00,L_0097,,199460,0,0
Smithsonian Institution,Smithsonian Institution,Smithsonian ,Designated,,2006/12/29 05:00:00+00,L_0098,,199461,0,0
"Arts and Industries Building, Smithsonian Institution (National Museum)",Arts and Industries Building,Arts and Industries,Designated,,2006/12/29 05:00:00+00,L_0099,,199462,0,0
Saint Mark's Church,St Mark's Church,St Mark's Church,Designated,,2006/12/29 05:00:00+00,L_0100,,199463,0,0
Freer Gallery of Art,Freer Gallery of Art,Freer Gallery,Designated,,2006/12/29 05:00:00+00,L_0101,,199464,0,0
Department of Agriculture (Administration Building),Department of Agriculture,Agriculture Dept,Designated,,2006/12/29 05:00:00+00,L_0102,,199465,0,0
"Boardman, William J., House (Chancery of Iraq)",Boardman House,Boardman Hse,Designated,,2006/12/29 05:00:00+00,L_0103,,199466,0,0
Volta Bureau,Volta Bureau,Volta Bureau,Designated,,2006/12/29 05:00:00+00,L_0104,,199467,0,0
"Linthicum, Edward, House",Edward Linthicum House,Linthicum Hse,Designated,,2006/12/29 05:00:00+00,L_0105,,199468,0,0
"Wadsworth, Herbert House (Sulgrave Club)",Wadsworth House,Wadsworth House,Designated,,2006/12/29 05:00:00+00,L_0106,,199469,0,0
McCormick Apartments (National Trust for Historic Preservation),McCormick Apts,McCormick Apts,Designated,,2006/12/29 05:00:00+00,L_0107,,199470,0,0
"Carnegie Institution of Washington, Administration Building",Carnegie Institution,Carnegie Inst,Designated,,2006/12/29 05:00:00+00,L_0108,,199471,0,0
Spencer Carriage House and Stable,Spencer Stable,Spencer Stable,Designated,,2006/12/29 05:00:00+00,L_0110,,199472,0,0
Mount Zion United Methodist Church,Mt Zion Methodist Church,Mt Zion Church,Designated,,2006/12/29 05:00:00+00,L_0111,,200513,0,0
Potomac Masonic Lodge No. 5,Potomac Masonic Lodge No 5,Masonic Lodge,Designated,,2006/12/29 05:00:00+00,L_0112,,200514,0,0
"Armstrong, Samuel Chapman, Technical High School (Armstrong Manual Training School)",Armstrong High School,Armstrong HS,Designated,,2006/12/29 05:00:00+00,L_0113,,200515,0,0
Embassy Gulf Service Station,Embassy Gulf Service Station,Embassy Gulf,Designated,,2006/12/29 05:00:00+00,L_0114,,200516,0,0
Codman Carriage House and Stable,Codman Stable,Codman Stable,Designated,,2006/12/29 05:00:00+00,L_0115,,200517,0,0
"Grace Reformed Church, Sunday School, & Parish House",Grace Reformed Church,Grace Reformed Ch,Designated,,2006/12/29 05:00:00+00,L_0116,,200518,0,0
O Street Market,O Street Market,O Street Market,Designated,,2006/12/29 05:00:00+00,L_0117,,200519,0,0
"Yellow House, The",The Yellow House,Yellow Hse,Designated,,2006/12/29 05:00:00+00,L_0120,,200520,0,0
"Moore, Clarence, House (Old Canadian Embassy)",Moore House,Moore House,Designated,,2006/12/29 05:00:00+00,L_0121,,200521,0,0
"Tenney, Issac House",Isaac Tenney House,Tenney House,Designated,,2006/12/29 05:00:00+00,L_0122,,200522,0,0
"Georgetown University, Astronomical Observatory",GU Astronomical Observatory,GU Observatory,Designated,,2006/12/29 05:00:00+00,L_0123,,200523,0,0
"Bethune, Mary McLeod, Council House (Nat'l Council of Negro Women)",Mary McLeod Bethune House,Bethune House,Designated,,2006/12/29 05:00:00+00,L_0124,,200524,0,0
"Heurich, Christian, House (& Interiors)",Heurich House,Heurich House,Designated,,2006/12/29 05:00:00+00,L_0125,,200525,0,0
"Bruce, Blanche K. House",Blanche Bruce House,Bruce House,Designated,,2006/12/29 05:00:00+00,L_0126,,200526,0,0
"Grimke, Charlotte Forten House",Charlotte Forten Grimke  House,Grimke House,Designated,,2006/12/29 05:00:00+00,L_0127,,200527,0,0
Adams Memorial,Adams Memorial,Adams Memorial,Designated,,2006/12/29 05:00:00+00,L_0128,,200528,0,0
Arlington Memorial Bridge,Arlington Memorial Bridge,Arlington Br,Designated,,2006/12/29 05:00:00+00,L_0130,,200529,0,0
United States Botanic Garden,US Botanic Garden,Botanic Garden,Designated,,2006/12/29 05:00:00+00,L_0134,,200530,0,0
Taft Bridge,Taft Bridge,Taft Bridge,Designated,,2006/12/29 05:00:00+00,L_0135,,200531,0,0
Dumbarton Bridge (Buffalo Bridge),Dumbarton Bridge,Dumbarton Br,Designated,,2006/12/29 05:00:00+00,L_0136,,200532,0,0
Key Bridge,Key Bridge,Key Bridge,Designated,,2006/12/29 05:00:00+00,L_0137,,200533,0,0
"Rochambeau, Comte Jean de, Monument",Rochambeau Monument,Rochambeau,Designated,,2006/12/29 05:00:00+00,L_0138,,200534,0,0
Cady-Lee House,Cady-Lee House,Cady-Lee House,Designated,,2006/12/29 05:00:00+00,L_0001,,200535,0,0
Chevy Chase Theater (Avalon Theater),Chevy Chase Theater,Chevy Ch Theater,Designated,,2006/12/29 05:00:00+00,L_0002,,200536,0,0
Jackson Hill (Holt House),Jackson Hill,Jackson Hill,Designated,,2006/12/29 05:00:00+00,L_0003,,200537,0,0
Warder-Totten House,Warder-Totten House,Warder-Totten Hse,Designated,,2006/12/29 05:00:00+00,L_0004,,200538,0,0
"Miner Normal School (Miner Building, Howard University)",Miner Normal School,Miner School,Designated,,2006/12/29 05:00:00+00,L_0005,,200539,0,0
"Olympia, The",The Olympia,The Olympia,Designated,,2006/12/29 05:00:00+00,L_0006,,200540,0,0
"Pink Palace (Mrs. Marshall Field House; Inter-American Defense Board)",Pink Palace,Pink Palace,Designated,,2006/12/29 05:00:00+00,L_0007,,200541,0,0
"Admiral's House, Naval Observatory",Admiral's House,Admiral's House,Designated,,2006/12/29 05:00:00+00,L_0008,,200542,0,0
"Howard University, Howard Hall (Gen. Oliver Otis Howard House)",Howard Hall,Howard Hall,Designated,,2006/12/29 05:00:00+00,L_0009,,200543,0,0
Banneker Recreation Center,Banneker Recreation Center,Banneker Rec Ctr,Designated,,2006/12/29 05:00:00+00,L_0010,,200544,0,0
Old Hungarian Embassy,Old Hungarian Embassy,Hungarian Embassy,Designated,,2006/12/29 05:00:00+00,L_0011,,200545,0,0
Old French Embassy,Old French Embassy,French Embassy,Designated,,2006/12/29 05:00:00+00,L_0012,,200546,0,0
Central High School (Cardozo Senior High School),Cardozo High School,Cardozo HS,Designated,,2006/12/29 05:00:00+00,L_0013,,200547,0,0
Park Tower,Park Tower,Park Tower,Designated,,2006/12/29 05:00:00+00,L_0014,,200548,0,0
Glenwood Cemetery Chapel,Glenwood Cemetery Chapel,Glenwood Chapel,Designated,,2006/12/29 05:00:00+00,L_0015,,200549,0,0
Meridian Hall,Meridian Hall,Meridian Hall,Designated,,2006/12/29 05:00:00+00,L_0016,,200550,0,0
Meridian Mansions (The Envoy),Meridian Mansions,Meridian Mansions,Designated,,2006/12/29 05:00:00+00,L_0017,,200551,0,0
Conduit Road School,Conduit Road School,Conduit Rd School,Designated,,2006/12/29 05:00:00+00,L_0018,,200552,0,0
Meridian Manor,Meridian Manor,Meridian Manor,Designated,,2006/12/29 05:00:00+00,L_0019,,200553,0,0
White-Meyer House,White-Meyer House,White-Meyer Hse,Designated,,2006/12/29 05:00:00+00,L_0020,,200554,0,0
Meridian House,Meridian House,Meridian House,Designated,,2006/12/29 05:00:00+00,L_0021,,200555,0,0
British Embassy,British Embassy,British Embassy,Designated,,2006/12/29 05:00:00+00,L_0022,,200556,0,0
"Cary, Mary Ann Shadd, House",Mary Ann Shadd Cary House,Cary House,Designated,,2006/12/29 05:00:00+00,L_0023,,200557,0,0
"Woodward, The",Woodward Apartments,The Woodward,Designated,,2006/12/29 05:00:00+00,L_0024,,200558,0,0
"Fuller, Thomas, House",Fuller House,Fuller House,Designated,,2006/12/29 05:00:00+00,L_0025,,200559,0,0
"Lindens, The (King Hooper House)",The Lindens,The Lindens,Designated,,2006/12/29 05:00:00+00,L_0026,,200560,0,0
Windsor Lodge (William E. Borah Residence),Windsor Lodge,Windsor Lodge,Designated,,2006/12/29 05:00:00+00,L_0027,,200561,0,0
Lincoln Theatre,Lincoln Theatre,Lincoln Theatre,Designated,,2006/12/29 05:00:00+00,L_0028,,200562,0,0
Wyoming Apartments (and Interior of Entrance Pavilion),The Wyoming,The Wyoming,Designated,,2006/12/29 05:00:00+00,L_0029,,200563,0,0
"Lothrop, Alvin Mason, House",Lothrop Mansion,Lothrop Mansion,Designated,,2006/12/29 05:00:00+00,L_0030,,200564,0,0
MacArthur Theater (and Lobby),MacArthur Theater,MacArthur Theater,Designated,,2006/12/29 05:00:00+00,L_0031,,200565,0,0
